customer_id,customer_city,customer_state
00012a2ce6f8dcda20d059ce98491703,osasco,SP
000379cdec625522490c315e70c7a9fb,sao paulo,SP
0004164d20a9e969af783496f3408652,valinhos,SP
0005aefbb696d34b3424dccd0a0e9fd0,sao paulo,SP
00062b33cb9f6fe976afdcff967ea74d,sao paulo,SP
0009a69b72033b2d0ec8c69fc70ef768,campinas,SP
000bf8121c3412d3057d32371c5d3395,jacarei,SP
000fd45d6fedae68fc6676036610f879,piracaia,SP
001028b78fd413e19704b3867c369d3a,sao paulo,SP
001051abfcfdbed9f87b4266213a5df1,sao paulo,SP
0013280441d86a4f7a8006efdaf1b0fe,sao paulo,SP
0013cd8e350a7cc76873441e431dd5ee,sao paulo,SP
001450ebb4a77efb3d68be5f7887cb1e,ibiuna,SP
00155f0530cc7b2bf73cc3f81cb01c52,campinas,SP
001574cd5824c0b1ea90dd4f4ba6d5b8,sao paulo,SP
0015bc9fd2d5395446143e8b215d7c75,sao jose dos campos,SP
0018c09f333634ca9c80d9ff46e43e9c,santo andre,SP
0018f7fde63ca77254dbc47f4ea358b2,pirassununga,SP
0019c9aaad15b043c48f0a1180f22ce8,sao paulo,SP
001a57041f56400917a187dd74e6cbc1,sao paulo,SP
001b4e9b73aa98a6276b241bfd496822,guaruja,SP
001c7f05398c45b42eee0d5a77783bca,cotia,SP
001df1ee5c36767aa607001ab1a13a06,sao paulo,SP
001f6f1a5e902ad14e1f709a7215de11,campos do jordao,SP
002236c4f333bc8df6a5939749eb7869,jacarei,SP
002348c1099e3229276c8ad7d4ddc702,itupeva,SP
0026955706fd4e2fa997f3f4c18d485a,sao paulo,SP
0026d252429f669d454d726e5e956aa1,aguai,SP
002834b4d901534f48d9e9a72047b288,biritiba-mirim,SP
0029cdf064769cabdf3186b54d068c99,sao paulo,SP
002a10e899b62a460b0116e0b68697ad,sao manuel,SP
002ce108ccf0356ef5c8b1dce3c0ae29,sao paulo,SP
002d358e2462f87678443706cbf2eb21,sao paulo,SP
002d597546b2cf44428232c9f237f873,jundiai,SP
002f90a6eb386bc43bc9ba200db31a89,sao paulo,SP
002fb8fc5ce64f8422fa2fe79986c783,sao bernardo do campo,SP
0030aded3a67b29946a128ee8468388e,sao paulo,SP
0030fbb95fbe7e61f798a80edb01a8e9,ribeirao preto,SP
00314f95a054231742e3c5396b333b88,guaruja,SP
003536ce5e18f1d12b9bf76932f8a6b1,sao paulo,SP
0036875772a8eeb391b8cd7226283fdd,santo andre,SP
0037d14e53af1d555a582504a4058f4c,sao paulo,SP
003b595c764773e20e0949b6fba7b1dc,capao bonito,SP
003bdf7fd8312f9d14a4b979f3747334,sao paulo,SP
003c7cadba4f182b9f22d7d5ea7a5003,sao paulo,SP
003ec17a1389fa302f3a0423dddd8650,monte mor,SP
003f7d92ac63c512bb6584219806f8df,sao paulo,SP
0040a8417928d0d5abd5169cd7877181,cacapava,SP
0040b00970e2139e8c43b647c0da5305,atibaia,SP
00426311a53f3c052943c88b692a3be2,sao paulo,SP
004440537b68545ca3c341d7279bc4c0,sao paulo,SP
0045ac1c0957bc92e109f71e4941fa49,sao paulo,SP
004937d0f9d6ce15c2830c00c2f482e5,jaboticabal,SP
0049e8442c2a3e4a8d1ff5a9549abd53,bertioga,SP
004df18653e9438571e9d294776a5c5c,sao paulo,SP
004ee20df425002ed78553e1f50caa3e,indiana,SP
004f39eb181d53fa796fe82ce7a0cbd5,mogi das cruzes,SP
00502500a53243e07961383bf1a6fa82,sao paulo,SP
005092c23e81812fbbe11fc6cf7e5316,sao paulo,SP
00520034b873d2cdfe098fd0a634d03d,maua,SP
005460bea0518c7354f01adf10012184,sao paulo,SP
